"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-May-2020","     9488.95","     9507.55","     9362.05","     9464.50","       39314551","         2430.44"
"29-May-2020","     9459.25","     9812.90","     9432.60","     9768.60","      105962179","         6052.70"
"01-Jun-2020","     9844.20","     9872.40","     9677.95","     9802.10","       75074106","         4566.32"
"02-Jun-2020","     9869.65","    10047.30","     9814.45","     9833.60","       65215107","         4271.12"
"03-Jun-2020","     9914.80","     9980.85","     9835.05","     9864.05","       37556423","         2654.92"
"04-Jun-2020","     9880.85","    10114.10","     9869.60","    10077.85","       76336928","         5184.11"
"05-Jun-2020","    10161.40","    10234.80","    10061.95","    10081.30","       57216602","         3645.70"
"08-Jun-2020","    10158.85","    10158.85","     9883.70","     9939.10","       39820958","         2897.50"
"09-Jun-2020","     9950.50","    10227.90","     9948.75","    10122.05","       69540564","         5029.87"
"10-Jun-2020","    10159.10","    10237.05","    10070.80","    10149.25","       44247700","         3290.75"
"11-Jun-2020","    10097.85","    10177.35","     9893.80","     9933.40","       46571644","         2895.03"
"12-Jun-2020","     9690.90","     9997.50","     9687.95","     9982.80","       44285250","         2750.62"
"15-Jun-2020","    10020.75","    10171.80","     9894.70","     9989.05","       44522484","         3286.17"
"16-Jun-2020","    10063.25","    10092.35","     9800.05","     9926.40","       36885401","         2338.56"
"17-Jun-2020","     9956.70","    10020.25","     9915.20","     9977.20","       35987916","         2301.61"
"18-Jun-2020","     9991.75","    10050.20","     9953.05","     9975.30","       28614612","         1840.17"
"19-Jun-2020","    10022.90","    10098.85","     9982.45","    10002.15","       40791414","         2827.77"
"22-Jun-2020","    10223.05","    10291.45","    10102.30","    10218.35","      147574050","         8716.15"
"23-Jun-2020","    10300.10","    10385.20","    10217.90","    10360.80","      106516425","         6484.67"
"24-Jun-2020","    10393.35","    10404.35","    10088.60","    10110.50","       57067474","         3420.81"
"25-Jun-2020","    10075.55","    10239.60","    10040.60","    10193.15","       50195319","         3358.17"
