"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"22-Jul-2020","    17317.30","    17321.70","    16978.40","    17076.05","       38314440","         3023.55"
"23-Jul-2020","    17071.80","    17082.55","    16949.15","    17045.20","       35746371","         2771.82"
"24-Jul-2020","    16944.55","    17322.70","    16944.55","    17286.00","       75742251","         5581.95"
"27-Jul-2020","    17323.00","    17735.65","    17290.55","    17626.75","       65300353","         5517.08"
"28-Jul-2020","    17647.90","    18103.65","    17634.40","    18042.75","       74553839","         6643.21"
"29-Jul-2020","    17959.80","    18108.70","    17783.30","    17880.50","       45738746","         4483.19"
"30-Jul-2020","    17995.25","    18252.70","    17967.20","    18003.55","       63655744","         5246.84"
"31-Jul-2020","    18166.30","    18353.50","    17909.30","    18071.85","       47148830","         4032.42"
"03-Aug-2020","    18099.40","    18140.85","    17840.30","    17965.80","       33148225","         3041.81"
"04-Aug-2020","    18029.40","    18092.00","    17716.40","    17808.00","       36316763","         3078.18"
"05-Aug-2020","    17889.55","    18139.25","    17818.15","    17869.80","       35461274","         3470.39"
"06-Aug-2020","    18009.70","    18222.80","    17943.85","    18188.75","       43928212","         4212.55"
"07-Aug-2020","    18182.30","    18182.30","    17977.70","    18004.15","       32147519","         2882.29"
"10-Aug-2020","    18090.25","    18205.25","    18016.80","    18159.55","       25995789","         2429.00"
"11-Aug-2020","    18202.50","    18331.65","    18036.50","    18057.10","       30791515","         2718.88"
"12-Aug-2020","    18077.15","    18109.80","    17900.00","    18066.00","       38941130","         3368.34"
"13-Aug-2020","    18141.35","    18344.05","    18032.90","    18107.20","       35340992","         2884.53"
"14-Aug-2020","    18137.30","    18230.10","    17994.65","    18022.65","       25683414","         2195.16"
"17-Aug-2020","    18136.65","    18306.95","    18103.30","    18223.60","       39287276","         3022.73"
"18-Aug-2020","    18318.60","    18375.15","    18209.55","    18270.35","       31630641","         2614.88"
"19-Aug-2020","    18340.00","    18354.80","    18187.55","    18210.85","       31996010","         2725.21"
"20-Aug-2020","    18181.40","    18252.30","    18083.25","    18126.10","       28969479","         2335.40"
"21-Aug-2020","    18266.90","    18282.55","    18047.95","    18065.30","       27400017","         2288.84"
"24-Aug-2020","    18092.55","    18112.90","    17915.60","    18010.95","       21939454","         1920.94"
"25-Aug-2020","    18028.80","    18047.50","    17914.50","    17973.70","       25259590","         1971.61"
"26-Aug-2020","    18022.70","    18156.15","    17940.70","    18128.00","       26805518","         2223.23"
"27-Aug-2020","    18231.95","    18305.55","    18075.75","    18102.65","       24755603","         2380.80"
"28-Aug-2020","    18216.30","    18253.60","    18093.45","    18122.00","       30027812","         2679.75"
