Date,Open,High,Low,Close,Adj Close
2020-10-19,44.060001,44.299999,42.310001,43.349998,43.349998
2020-10-20,43.349998,44.209999,42,43.849998,43.849998
2020-10-21,43.849998,48.369999,43.849998,47.580002,47.580002
2020-10-22,47.580002,47.580002,44.939999,46.610001,46.610001
2020-10-23,46.610001,47.009998,44.32,46.32,46.32
2020-10-26,46.32,53.48,46.32,53.049999,53.049999
2020-10-27,53.049999,53.049999,48.84,50.220001,50.220001
2020-10-28,50.220001,59.84,50.220001,59.610001,59.610001
2020-10-29,59.610001,66.68,59.610001,63.380001,63.380001
2020-10-30,60.110001,69.150002,60.040001,68.839996,68.839996
2020-11-02,68.839996,70.660004,65.32,66.730003,66.730003
2020-11-03,66.730003,68.300003,57.889999,63.630001,63.630001
2020-11-04,59.849998,60.73,53.779999,54.529999,54.529999
2020-11-05,54.529999,54.529999,52.220001,53.689999,53.689999
2020-11-06,53.689999,57.66,53.689999,55.75,55.75
2020-11-09,52.900002,53.310001,50.5,52.200001,52.200001
2020-11-10,51.75,51.75,49.130001,49.639999,49.639999
2020-11-11,47.549999,50.009998,47.32,49.240002,49.240002
2020-11-12,50.470001,51.419998,46.48,50.900002,50.900002
2020-11-13,51.18,51.18,47.990002,48.240002,48.240002
2020-11-16,46.990002,47.540001,44.580002,46.889999,46.889999
2020-11-17,47.619999,49.549999,44.669998,45.080002,45.080002
2020-11-18,49.279999,49.279999,43.240002,46.060001,46.060001
2020-11-19,47.139999,48.389999,45.130001,46.34,46.34
2020-11-20,46.060001,46.150002,43.450001,43.939999,43.939999
2020-11-23,43.099998,43.130001,41.200001,42.790001,42.790001
2020-11-24,41.189999,43.34,40.970001,42.84,42.84
2020-11-25,41.880001,43.59,41.23,43.560001,43.560001
2020-11-27,44.950001,46.68,44.389999,46.209999,46.209999
2020-11-30,46.610001,48.380001,41.049999,47.369999,47.369999
2020-12-01,46.740002,48.43,45.91,47.810001,47.810001
2020-12-02,46.59,47.290001,44.470001,45.68,45.68
2020-12-03,43.509998,44.169998,37.84,40.950001,40.950001
2020-12-04,38.709999,39.450001,37.130001,38.34,38.34
2020-12-07,38.259998,39.060001,37.18,37.68,37.68
2020-12-08,37.080002,38.830002,36.34,37.700001,37.700001
2020-12-09,36.790001,40.950001,36.060001,39.52,39.52
2020-12-10,36.540001,39.700001,35.77,39.700001,39.700001
2020-12-11,39.650002,40.099998,38.619999,39.509998,39.509998
2020-12-14,39.810001,41.459999,36.880001,39.959999,39.959999
2020-12-15,39.130001,41.25,38.32,39.34,39.34
2020-12-16,37.450001,40.830002,37.419998,38.68,38.68
