"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"29-Jun-2020","       28.7350","       30.4500","       27.9800","       28.9100","       28.7350","        0.1800","   0.61"
"30-Jun-2020","       28.9100","       29.6325","       28.4050","       29.1175","       28.9100","        0.2100","   0.72"
"01-Jul-2020","       29.1175","       29.1625","       27.9375","       28.1175","       29.1175","       -1.0000","  -3.43"
"02-Jul-2020","       28.1175","       28.1175","       26.3150","       26.5075","       28.1175","       -1.6100","  -5.73"
"03-Jul-2020","       26.5075","       26.7750","       25.6275","       25.7675","       26.5075","       -0.7400","  -2.79"
"06-Jul-2020","       25.7675","       26.1750","       24.5425","       25.1975","       25.7675","       -0.5700","  -2.21"
"07-Jul-2020","       25.1975","       25.6450","       24.2400","       25.1025","       25.1975","       -0.1000","  -0.38"
"08-Jul-2020","       25.1025","       26.3550","       25.0300","       26.1000","       25.1025","        1.0000","   3.97"
"09-Jul-2020","       26.1000","       27.6575","       24.7350","       24.9125","       26.1000","       -1.1900","  -4.55"
"10-Jul-2020","       24.9125","       25.4775","       23.4850","       24.9425","       24.9125","        0.0300","   0.12"
"13-Jul-2020","       24.9425","       25.9075","       22.8050","       25.2525","       24.9425","        0.3100","   1.24"
"14-Jul-2020","       25.2525","       27.2650","       25.2525","       26.6375","       25.2525","        1.3900","   5.48"
"15-Jul-2020","       26.6375","       26.6375","       23.7400","       26.2900","       26.6375","       -0.3500","  -1.30"
"16-Jul-2020","       26.2900","       26.5975","       25.2450","       25.3625","       26.2900","       -0.9300","  -3.53"
"17-Jul-2020","       25.3625","       25.5025","       23.7700","       24.1575","       25.3625","       -1.2100","  -4.75"
"20-Jul-2020","       24.1575","       25.1200","       24.1575","       24.7125","       24.1575","        0.5600","   2.30"
"21-Jul-2020","       24.7125","       24.7125","       23.7250","       24.4275","       24.7125","       -0.2900","  -1.15"
"22-Jul-2020","       24.4275","       25.8025","       23.7300","       24.8850","       24.4275","        0.4600","   1.87"
"23-Jul-2020","       24.8850","       24.9350","       24.0075","       24.6400","       24.8850","       -0.2500","  -0.98"
"24-Jul-2020","       24.6400","       25.2950","       22.7375","       24.5350","       24.6400","       -0.1100","  -0.43"
"27-Jul-2020","       24.5350","       25.7175","       23.2900","       25.0175","       24.5350","        0.4800","   1.97"
"28-Jul-2020","       25.0175","       25.2150","       23.5450","       23.6425","       25.0175","       -1.3800","  -5.50"
